03/29/2026 20:36:39.503 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
03/29/2026 20:36:39.504 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
03/29/2026 20:36:39.504 | DEBUG    |                             AshitaCore::Initialize | <Begin>
03/29/2026 20:36:39.504 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
03/29/2026 20:36:39.504 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
03/29/2026 20:36:39.505 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : C:\Program Files (x86)\Ashita-v4Radix\
03/29/2026 20:36:39.505 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\retail-mac.ini
03/29/2026 20:36:39.506 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Program Files (x86)\Ashita-v4Radix\\config\boot\retail-mac.ini
03/29/2026 20:36:39.510 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
03/29/2026 20:36:39.510 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
03/29/2026 20:36:39.510 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   file : 
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   script : default.txt
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   args : 
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize | [ashita.fonts]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   d3d8.disable_scaling : 0
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   d3d8.family : Arial
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   d3d8.height : 10
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 0
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 0
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   mouse.unhook : 1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize | [ashita.language]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   playonline : 2
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   ashita : 2
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize | [ashita.logging]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   level : 5
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   crashdumps : 1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize | [ashita.misc]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   addons.silent : 0
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   aliases.silent : 1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   plugins.silent : 0
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize | [ashita.resources]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   offsets.use_overrides : 1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   pointers.use_overrides : 1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   resources.use_overrides : 1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize | [ashita.taskpool]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   threadcount : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize | [ashita.window.startpos]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   x : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   y : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize | [ashita.polplugins]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   sandbox : 0
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   pivot : 0
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize | [ffxi.direct3d8]
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbufferformat : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbuffercount : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   presentparams.multisampletype : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   presentparams.swapeffect : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   presentparams.enableautodepthstencil : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   presentparams.autodepthstencilformat : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   presentparams.flags : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_refreshrateinhz : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_presentationinterval : -1
03/29/2026 20:36:39.511 | DEBUG    |                             AshitaCore::Initialize |   behaviorflags.fpu_preserve : 0
