03/29/2026 18:02:20.659 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
03/29/2026 18:02:20.659 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
03/29/2026 18:02:20.660 | DEBUG    |                             AshitaCore::Initialize | <Begin>
03/29/2026 18:02:20.660 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
03/29/2026 18:02:20.660 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
03/29/2026 18:02:20.660 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : C:\Program Files (x86)\Ashita-v4Radix\
03/29/2026 18:02:20.660 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\retail-mac.ini
03/29/2026 18:02:20.661 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Program Files (x86)\Ashita-v4Radix\\config\boot\retail-mac.ini
03/29/2026 18:02:20.665 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
03/29/2026 18:02:20.665 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   file : 
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   script : default.txt
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   args : 
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize | [ashita.fonts]
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   d3d8.disable_scaling : 0
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   d3d8.family : Arial
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   d3d8.height : 10
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 0
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 1
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 1
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 0
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   mouse.unhook : 1
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize | [ashita.language]
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   playonline : 2
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   ashita : 2
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize | [ashita.logging]
03/29/2026 18:02:20.666 | DEBUG    |                             AshitaCore::Initialize |   level : 5
